"id","inspectorate","province","date","calculate_natsum","calculate_aqusum","calculate_totalsum","calculate_sumpro","fisher_fishermen","fisher_fisherwomen","fisher_fishfarmer","fisher_fishfarmerwomen","fisher_pond","fisher_pondsize","fisher_processor","fisher_processwomen","xformidstring","uuid","status","geolocation","calculatepatrol_sumcrime","calculatepatrol_sumexhibit","calculatepatrol_sumenforce","calculate001_sumcrime","calculate001_sumexhibit","calculate001_sumenforce","law_enforcement","law_amount","calculate_sumnatural","calculate_sumaqualculture","calculate_totalnaturalaqaulculture","calculate_sumprocessing"
438397967,2,"21","2023-06-09",436,407,843,42,49800,1350,9155,1373,23000,575,1950,1365,"aLQEf7RcyAYyquCRdDCr4J","d661b7cd-5f13-457c-92f2-1247435da671","submitted_via_web","null, null",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
438416469,2,"12","2023-06-12",388,3820,4208,2744,0,0,167,80,166,103,9,5,"aLQEf7RcyAYyquCRdDCr4J","7c7470c5-53b3-4d61-8719-e1af2a4b7e13","submitted_via_web","null, null",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
438480361,3,"15","2023-05-05",860,189,1049,125,3120,620,2777,930,1572,15,1300,900,"aLQEf7RcyAYyquCRdDCr4J","bf3ef529-f425-4355-a052-c6672fb4c9a7","submitted_via_web","null, null",3,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
438485710,3,"15","2023-05-12",870,188,1058,45,NA,NA,NA,NA,NA,NA,NA,NA,"aLQEf7RcyAYyquCRdDCr4J","a7d070bf-6ffc-4e7c-9563-fc5b1dc2ab13","submitted_via_web","null, null",3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
438489976,3,"15","2023-05-19",890,195,1085,57,NA,NA,NA,NA,NA,NA,NA,NA,"aLQEf7RcyAYyquCRdDCr4J","a3724148-d43a-4671-993d-2d2ed592e4a5","submitted_via_web","null, null",2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
438507870,3,"15","2023-05-26",940,183,1123,45,NA,NA,NA,NA,NA,NA,NA,NA,"aLQEf7RcyAYyquCRdDCr4J","a3557c6f-73cb-4a78-a169-a4fc0136edbf","submitted_via_web","null, null",3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
438511513,4,"17","2023-01-16",2740,2740,5480,585,NA,NA,NA,NA,NA,NA,NA,NA,"aLQEf7RcyAYyquCRdDCr4J","1fd1e879-2612-43a1-b4d9-d6b801f1ae09","submitted_via_web","null, null",25,9,25,NA,NA,NA,NA,NA,NA,NA,NA,NA
438514884,3,"15","2023-06-09",240,250,490,12,NA,NA,NA,NA,NA,NA,NA,NA,"aLQEf7RcyAYyquCRdDCr4J","614e8731-3802-4239-9658-a2f02536f853","submitted_via_web","null, null",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
438523351,4,"17","2023-02-15",4610,2448,7058,565,NA,NA,NA,NA,NA,NA,NA,NA,"aLQEf7RcyAYyquCRdDCr4J","e9486231-9f98-4b15-9425-feb5aab23e77","submitted_via_web","null, null",20,14,21,NA,NA,NA,NA,NA,NA,NA,NA,NA
438526543,3,"15","2023-01-06",885,1300,2185,21,NA,NA,NA,NA,NA,NA,NA,NA,"aLQEf7RcyAYyquCRdDCr4J","f2326efa-9603-40e8-9ed2-8a3401c0859d","submitted_via_web","null, null",NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA
438529819,3,"15","2023-01-13",880,1200,2080,15,NA,NA,NA,NA,NA,NA,NA,NA,"aLQEf7RcyAYyquCRdDCr4J","7b295dfb-dc5c-4a10-a952-07cbee925e87","submitted_via_web","null, null",1,1,1,1,1,1,NA,NA,NA,NA,NA,NA
438533522,4,"17","2023-03-15",4595,2354,6949,538,NA,NA,NA,NA,NA,NA,NA,NA,"aLQEf7RcyAYyquCRdDCr4J","c6c50e66-a9da-43dc-adbc-91c11a10f58e","submitted_via_web","null, null",21,21,21,NA,NA,NA,NA,NA,NA,NA,NA,NA
438533766,3,"15","2023-01-20",875,1250,2125,17,NA,NA,NA,NA,NA,NA,NA,NA,"aLQEf7RcyAYyquCRdDCr4J","481858ed-eb55-433a-9748-a965a617f8a7","submitted_via_web","null, null",NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
438536671,3,"15","2023-01-27",865,1207,2072,5,NA,NA,NA,NA,NA,NA,NA,NA,"aLQEf7RcyAYyquCRdDCr4J","69e6a279-e665-4100-91ec-3ed84af15b77","submitted_via_web","null, null",2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
438545581,4,"6","2023-06-12",347,1980,2327,19,0,NA,NA,NA,NA,NA,NA,NA,"aLQEf7RcyAYyquCRdDCr4J","ebdcccb5-f5f7-4c34-a1e9-dcc6cb554c5c","submitted_via_web","null, null",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
438834999,2,"21","2023-01-15",2918,580,3498,152,49800,1350,9155,1373,23000,575,1950,1365,"aLQEf7RcyAYyquCRdDCr4J","841eb03f-45b9-4c55-8067-a640a7b1b185","submitted_via_web","null, null",NA,NA,NA,NA,NA,NA,"2",1,NA,NA,NA,NA
439266979,2,"21","2023-02-15",1879,769,2648,153,49800,1350,9155,1373,23000,575,1950,1365,"aLQEf7RcyAYyquCRdDCr4J","f222c758-2bdb-4229-9d0f-10205b63b9d8","submitted_via_web","null, null",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
439270488,2,"21","2023-03-15",1499,2652,4151,152,49800,1350,9155,1373,23000,575,1950,1365,"aLQEf7RcyAYyquCRdDCr4J","a39aeaef-0e9f-4ab1-9941-604b3aa45644","submitted_via_web","null, null",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
439275174,2,"21","2023-04-15",670,991,1661,150,49800,1350,9155,1373,23000,575,1950,1365,"aLQEf7RcyAYyquCRdDCr4J","78708555-859d-4121-81a2-5003920494d8","submitted_via_web","null, null",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
439278097,2,"21","2023-05-15",593,1121,1714,158,49800,1350,9155,1373,23000,575,1950,1365,"aLQEf7RcyAYyquCRdDCr4J","bd2b0477-68c7-41aa-9dca-ff0bda45e14e","submitted_via_web","null, null",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
439732018,3,"24","2023-06-15",5,8,13,1,NA,NA,NA,NA,NA,NA,NA,NA,"aLQEf7RcyAYyquCRdDCr4J","891785d9-6b59-482a-b78f-714bc63489bf","submitted_via_web","null, null",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
439873152,1,"19","2023-05-16",250,10,260,29,NA,NA,NA,NA,NA,NA,NA,NA,"aLQEf7RcyAYyquCRdDCr4J","ce051132-3040-406a-9763-23e431c6198a","submitted_via_web","null, null",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
440230942,1,"16","2023-06-16",22,2,24,1,20950,6550,286,20,286,28600,4,4,"aLQEf7RcyAYyquCRdDCr4J","09e472d8-6349-434b-a245-4ec454c6fa3b","submitted_via_web","null, null",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
440234778,2,"21","2023-06-16",332,273,605,38,49800,1350,9155,1373,23000,575,1950,1365,"aLQEf7RcyAYyquCRdDCr4J","b99e9682-34e9-4889-bb4f-b155edc6d396","submitted_via_web","null, null",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
440238569,3,"4","2023-05-31",1600,150,1750,302,NA,NA,NA,NA,NA,NA,NA,NA,"aLQEf7RcyAYyquCRdDCr4J","4d9fd955-092a-4220-a7c1-880ea52d5c17","submitted_via_web","null, null",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
440248651,1,"11","2023-01-13",52,3,55,0,NA,NA,NA,NA,NA,NA,NA,NA,"aLQEf7RcyAYyquCRdDCr4J","d699cb4a-4d29-4e46-b3ae-9cc16c285b3b","submitted_via_web","null, null",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
440251070,1,"11","2023-02-14",39,3,42,0,NA,NA,NA,NA,NA,NA,NA,NA,"aLQEf7RcyAYyquCRdDCr4J","e220d919-550d-4bf0-b8ba-0818109dade9","submitted_via_web","null, null",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
440252989,1,"11","2023-03-14",46,4,50,0,NA,NA,NA,NA,NA,NA,NA,NA,"aLQEf7RcyAYyquCRdDCr4J","02935260-347e-4419-bb86-f9130c6e39eb","submitted_via_web","null, null",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
440255461,5,"23","2023-01-13",460,18,478,123,3100,NA,330,NA,52,NA,30,NA,"aLQEf7RcyAYyquCRdDCr4J","93874ff3-78dc-449e-af01-f05aaf003cff","submitted_via_web","null, null",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
440255466,5,"23","2023-02-15",1879,16,1895,130,NA,NA,NA,NA,NA,NA,NA,NA,"aLQEf7RcyAYyquCRdDCr4J","9e5d3af5-6370-4635-8ff2-ff2119412cf0","submitted_via_web","null, null",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
