"id","aqufishcatch_areaaqu","aqufishcatch_aqufishtype","aqufishcatch_aqucatch","aqufishcatch_aquprice","aqufishcatch_aqutype","date","province","uuid"
438397967,1,"30",163,5000,"ponds","2023-06-09",21,NA
438397967,1,"6",102,10000,"ponds","2023-06-09",21,NA
438397967,1,"39",61,4500,"ponds pool plastic","2023-06-09",21,NA
438397967,1,"888",41,7000,"ponds","2023-06-09",21,NA
438397967,1,"8",20,5000,"ponds","2023-06-09",21,NA
438397967,1,"77",20,12000,"pool plastic","2023-06-09",21,NA
438416469,1,"30",2950,5000,"ponds","2023-06-12",12,NA
438416469,1,"59",470,8000,"batches","2023-06-12",12,NA
438416469,1,"25",400,8000,"batches","2023-06-12",12,NA
438480361,1,"90",189,8000,"ponds batches","2023-05-05",15,NA
438485710,1,"90",188,8000,"ponds batches","2023-05-12",15,NA
438489976,1,"90",195,8000,"ponds batches","2023-05-19",15,NA
438507870,1,"90",183,8500,"ponds batches","2023-05-26",15,NA
438511513,1,"8",350,8500,"ponds batches plastic","2023-01-16",17,NA
438511513,1,"6",295,12000,"batches field pool","2023-01-16",17,NA
438511513,1,"24",280,15000,"ponds batches pool plastic","2023-01-16",17,NA
438511513,1,"30",360,10000,"batches pool plastic","2023-01-16",17,NA
438511513,1,"39",295,13000,"pool plastic","2023-01-16",17,NA
438511513,1,"46",250,12000,"pool plastic","2023-01-16",17,NA
438511513,1,"75",295,12500,"ponds batches pool","2023-01-16",17,NA
438511513,1,"77",215,12000,"pool plastic","2023-01-16",17,NA
438511513,1,"888",400,15000,"batches field plastic","2023-01-16",17,NA
438514884,1,"90",250,9000,"ponds batches","2023-06-09",15,NA
438523351,1,"60",5,15000,"field","2023-02-15",17,NA
438523351,1,"6",320,12000,"ponds batches pool","2023-02-15",17,NA
438523351,1,"8",310,10000,"ponds batches","2023-02-15",17,NA
438523351,1,"30",245,10000,"ponds batches","2023-02-15",17,NA
438523351,1,"24",310,13000,"ponds batches pool","2023-02-15",17,NA
438523351,1,"39",320,13000,"batches pool plastic","2023-02-15",17,NA
438523351,1,"77",25,12000,"plastic","2023-02-15",17,NA
438523351,1,"75",385,12000,"ponds batches","2023-02-15",17,NA
438523351,1,"59",235,8000,"batches pool","2023-02-15",17,NA
438523351,1,"72",9,12000,"field","2023-02-15",17,NA
438523351,1,"90",284,15000,"field pool plastic","2023-02-15",17,NA
438526543,1,"90",1300,8500,"ponds batches","2023-01-06",15,NA
438529819,1,"90",1200,8500,"ponds batches","2023-01-13",15,NA
438533522,1,"6",380,12000,"ponds batches","2023-03-15",17,NA
438533522,1,"75",290,12000,"ponds batches","2023-03-15",17,NA
438533522,1,"60",10,15000,"field","2023-03-15",17,NA
438533522,1,"8",235,10000,"batches pool","2023-03-15",17,NA
438533522,1,"30",190,10000,"batches plastic","2023-03-15",17,NA
438533522,1,"59",200,8000,"batches pool","2023-03-15",17,NA
438533522,1,"39",310,12000,"batches pool plastic","2023-03-15",17,NA
438533522,1,"24",390,13000,"ponds batches","2023-03-15",17,NA
438533522,1,"77",95,12000,"field pool plastic","2023-03-15",17,NA
438533522,1,"90",254,18000,"ponds field plastic","2023-03-15",17,NA
438533766,1,"90",1250,9500,"ponds batches","2023-01-20",15,NA
438536671,1,"90",1207,11000,"ponds batches","2023-01-27",15,NA
438545581,1,"75",60,10000,"batches","2023-06-12",6,NA
438545581,1,"6",500,5000,"ponds","2023-06-12",6,NA
438545581,1,"30",600,5000,"ponds","2023-06-12",6,NA
438545581,1,"39",320,7000,"plastic","2023-06-12",6,NA
438545581,1,"8",500,7000,"batches","2023-06-12",6,NA
438834999,1,"39",157,4500,"pool plastic","2023-01-15",21,NA
438834999,1,"30",139,6000,"ponds","2023-01-15",21,NA
438834999,1,"6",110,8000,"ponds","2023-01-15",21,NA
438834999,1,"8",87,5000,"ponds","2023-01-15",21,NA
438834999,1,"888",58,8000,"ponds","2023-01-15",21,NA
438834999,1,"77",29,8000,"plastic","2023-01-15",21,NA
439266979,1,"39",185,4500,"ponds pool plastic","2023-02-15",21,NA
439266979,1,"8",123,6000,"ponds","2023-02-15",21,NA
439266979,1,"30",169,8000,"ponds","2023-02-15",21,NA
439266979,1,"6",154,12000,"ponds","2023-02-15",21,NA
439266979,1,"888",92,8000,"ponds","2023-02-15",21,NA
439266979,1,"59",46,8500,"ponds","2023-02-15",21,NA
