"id","uuid","date","province","patrol_crime","patrol_case","patrol_exhibit","patrol_enforcement","patrol_amount","patrol_remarkcrime","patrol_othercrime","patrol_otherenforce"
438397967,NA,"2023-06-09",21,2,1,5,"[""2""]",1,NA,NA,NA
438416469,NA,"2023-06-12",12,3,20,550,"[""2""]",20,NA,NA,NA
438416469,NA,"2023-06-12",12,88,18,150,"[""2""]",18,NA,NA,NA
438416469,NA,"2023-06-12",12,88,1,350,"[""2""]",1,NA,NA,NA
438480361,NA,"2023-05-05",15,3,3,1,"[""2""]",3,NA,NA,NA
438485710,NA,"2023-05-12",15,3,3,2,"[""1"", ""2""]",3,NA,NA,NA
438489976,NA,"2023-05-19",15,2,2,1,"[""1""]",2,NA,NA,NA
438507870,NA,"2023-05-26",15,2,1,1,"[""1""]",1,NA,NA,NA
438507870,NA,"2023-05-26",15,1,1,1,"[""2""]",1,NA,NA,NA
438507870,NA,"2023-05-26",15,1,1,1,"[""2""]",1,NA,NA,NA
438511513,NA,"2023-01-16",17,4,13,3,"[""2""]",13,NA,NA,NA
438511513,NA,"2023-01-16",17,3,5,3,"[""2""]",5,NA,NA,NA
438511513,NA,"2023-01-16",17,5,6,1,"[""2""]",6,NA,NA,NA
438511513,NA,"2023-01-16",17,14,1,2,"[""2""]",1,NA,NA,NA
438514884,NA,"2023-06-09",15,1,1,1,"[""2""]",1,NA,NA,NA
438523351,NA,"2023-02-15",17,4,13,3,"[""2""]",13,NA,NA,NA
438523351,NA,"2023-02-15",17,3,2,3,"[""2""]",2,NA,NA,NA
438523351,NA,"2023-02-15",17,13,2,1,"[""2""]",2,NA,NA,NA
438523351,NA,"2023-02-15",17,5,1,2,"[""2""]",2,NA,NA,NA
438523351,NA,"2023-02-15",17,2,1,3,"[""4""]",1,NA,NA,NA
438523351,NA,"2023-02-15",17,1,1,2,"[""4""]",1,NA,NA,NA
438526543,NA,"2023-01-06",15,3,2,2,"[""2""]",2,NA,NA,NA
438529819,NA,"2023-01-13",15,2,1,1,"[""1""]",1,NA,NA,NA
438533522,NA,"2023-03-15",17,4,10,3,"[""2""]",10,NA,NA,NA
438533522,NA,"2023-03-15",17,3,2,3,"[""2""]",2,NA,NA,NA
438533522,NA,"2023-03-15",17,13,7,2,"[""2""]",7,NA,NA,NA
438533522,NA,"2023-03-15",17,2,1,6,"[""4""]",1,NA,NA,NA
438533522,NA,"2023-03-15",17,2,1,7,"[""4""]",1,NA,NA,NA
438533766,NA,"2023-01-20",15,88,0,0,"[""88""]",0,NA,NA,NA
438536671,NA,"2023-01-27",15,4,1,1,"[""1"", ""2""]",1,NA,NA,NA
438536671,NA,"2023-01-27",15,2,1,1,"[""1""]",1,NA,NA,NA
438545581,NA,"2023-06-12",6,3,1,1,"[""2""]",1,NA,NA,NA
438834999,NA,"2023-01-15",21,2,2,7,"[""2""]",2,NA,NA,NA
438834999,NA,"2023-01-15",21,13,1,1,"[""2""]",1,NA,NA,NA
438834999,NA,"2023-01-15",21,3,6,4,"[""2""]",6,NA,NA,NA
439266979,NA,"2023-02-15",21,2,5,23,"[""2""]",5,NA,NA,NA
