"id","processing_areapro","processing_typeprocessing","processing_source","processing_amountprocessing","processing_priceprocessing","processing_typebusiness","date","province","uuid"
438397967,1,8,"natural",0.95,12000,1,"2023-06-09",21,NA
438397967,1,3,"natural",0.68,20000,1,"2023-06-09",21,NA
438397967,1,88,"natural",0.27,15000,1,"2023-06-09",21,NA
438397967,1,88,"natural",0.27,12000,1,"2023-06-09",21,NA
438397967,1,11,"natural",40,2000,1,"2023-06-09",21,NA
438416469,1,3,"aquaculture",692,20000,1,"2023-06-12",12,NA
438416469,1,8,"aquaculture",525,1500,1,"2023-06-12",12,NA
438416469,1,4,"aquaculture",445,20000,1,"2023-06-12",12,NA
438416469,1,15,"natural",113,40000,1,"2023-06-12",12,NA
438416469,1,11,"natural",969,2500,2,"2023-06-12",12,NA
438480361,1,8,"natural",110,9500,1,"2023-05-05",15,NA
438480361,1,11,"natural",5,1500,1,"2023-05-05",15,NA
438480361,1,10,"natural",10,7000,1,"2023-05-05",15,NA
438485710,1,8,"natural",5,9000,1,"2023-05-12",15,NA
438485710,1,7,"natural",15,10000,1,"2023-05-12",15,NA
438485710,1,30,"natural",12,1800,1,"2023-05-12",15,NA
438485710,1,13,"natural",8,25000,1,"2023-05-12",15,NA
438485710,1,11,"natural",5,5000,1,"2023-05-12",15,NA
438489976,1,9,"natural",16,1100,1,"2023-05-19",15,NA
438489976,1,7,"natural",8,10000,1,"2023-05-19",15,NA
438489976,1,10,"natural",10,6000,1,"2023-05-19",15,NA
438489976,1,13,"natural",3,24000,1,"2023-05-19",15,NA
438489976,1,30,"natural",14,18000,1,"2023-05-19",15,NA
438489976,1,9,"natural",6,11000,1,"2023-05-19",15,NA
438507870,1,10,"natural",20,7000,1,"2023-05-26",15,NA
438507870,1,11,"natural",5,5000,1,"2023-05-26",15,NA
438507870,1,10,"natural",10,6000,1,"2023-05-26",15,NA
438507870,1,7,"natural",10,8000,1,"2023-05-26",15,NA
438511513,1,2,"aquaculture",95,65000,1,"2023-01-16",17,NA
438511513,1,3,"aquaculture",85,35000,1,"2023-01-16",17,NA
438511513,1,4,"natural",65,25000,1,"2023-01-16",17,NA
438511513,1,7,"natural",45,35000,1,"2023-01-16",17,NA
438511513,1,8,"natural",30,12000,1,"2023-01-16",17,NA
438511513,1,9,"aquaculture",45,20000,1,"2023-01-16",17,NA
438511513,1,10,"natural",18,13000,1,"2023-01-16",17,NA
438511513,1,13,"natural",12,120000,1,"2023-01-16",17,NA
438511513,1,5,"natural",10,35000,1,"2023-01-16",17,NA
438511513,1,11,"natural",6,4500,1,"2023-01-16",17,NA
438511513,1,30,"natural",79,13000,1,"2023-01-16",17,NA
438511513,1,88,"natural",95,5000,1,"2023-01-16",17,NA
438514884,1,8,"natural",5,9500,1,"2023-06-09",15,NA
438514884,1,10,"natural",1,7000,1,"2023-06-09",15,NA
438514884,1,7,"natural",3,12000,1,"2023-06-09",15,NA
438514884,1,13,"natural",2,26000,1,"2023-06-09",15,NA
438514884,1,11,"natural",1,6000,1,"2023-06-09",15,NA
438523351,1,2,"aquaculture",185,65000,1,"2023-02-15",17,NA
438523351,1,3,"natural",95,35000,1,"2023-02-15",17,NA
438523351,1,4,"natural",15,15000,1,"2023-02-15",17,NA
438523351,1,7,"natural",10,35000,1,"2023-02-15",17,NA
438523351,1,8,"natural",15,12000,1,"2023-02-15",17,NA
438523351,1,9,"aquaculture",25,18000,1,"2023-02-15",17,NA
438523351,1,10,"natural",15,13000,1,"2023-02-15",17,NA
438523351,1,11,"natural",8,4500,1,"2023-02-15",17,NA
438523351,1,13,"natural",12,120000,1,"2023-02-15",17,NA
438523351,1,5,"natural",15,35000,1,"2023-02-15",17,NA
438523351,1,30,"natural",170,15000,1,"2023-02-15",17,NA
438526543,1,8,"natural",1,10000,1,"2023-01-06",15,NA
438526543,1,10,"natural",3,8000,1,"2023-01-06",15,NA
438526543,1,7,"aquaculture",3,12000,1,"2023-01-06",15,NA
438526543,1,7,"natural",3,10000,1,"2023-01-06",15,NA
438526543,1,11,"natural",2,6000,1,"2023-01-06",15,NA
438526543,1,13,"natural",1,28000,1,"2023-01-06",15,NA
438526543,1,9,"natural",3,12000,1,"2023-01-06",15,NA
438526543,1,2,"natural",5,20000,1,"2023-01-06",15,NA
438529819,1,4,"natural",10,15000,1,"2023-01-13",15,NA
438529819,1,10,"natural",2,13000,1,"2023-01-13",15,NA
438529819,1,11,"natural",1,8000,1,"2023-01-13",15,NA
438529819,1,3,"natural",1,20000,1,"2023-01-13",15,NA
438529819,1,3,"aquaculture",1,25000,1,"2023-01-13",15,NA
438533522,1,2,"aquaculture",95,65000,1,"2023-03-15",17,NA
438533522,1,3,"natural",80,35000,1,"2023-03-15",17,NA
438533522,1,4,"natural",35,15000,1,"2023-03-15",17,NA
438533522,1,7,"natural",15,35000,1,"2023-03-15",17,NA
438533522,1,8,"natural",35,12000,1,"2023-03-15",17,NA
438533522,1,9,"aquaculture",50,18000,1,"2023-03-15",17,NA
438533522,1,10,"natural",35,13000,1,"2023-03-15",17,NA
438533522,1,11,"natural",85,4500,1,"2023-03-15",17,NA
438533522,1,13,"natural",10,120000,1,"2023-03-15",17,NA
438533522,1,30,"natural",98,35000,1,"2023-03-15",17,NA
438533766,1,4,"natural",10,14000,1,"2023-01-20",15,NA
438533766,1,2,"aquaculture",3,22000,1,"2023-01-20",15,NA
438533766,1,3,"aquaculture",2,20000,1,"2023-01-20",15,NA
438533766,1,11,"natural",2,8000,1,"2023-01-20",15,NA
438536671,1,8,"natural",2,9500,1,"2023-01-27",15,NA
438536671,1,9,"natural",2,12000,1,"2023-01-27",15,NA
438536671,1,5,"aquaculture",1,18000,1,"2023-01-27",15,NA
438545581,1,3,"natural",1.6,25000,1,"2023-06-12",6,NA
438545581,1,5,"natural",1.2,10000,1,"2023-06-12",6,NA
438545581,1,7,"natural",4.1,25000,1,"2023-06-12",6,NA
438545581,1,9,"natural",0.3,20000,1,"2023-06-12",6,NA
438545581,1,15,"natural",0.5,200000,1,"2023-06-12",6,NA
438545581,1,8,"natural",6,5000,1,"2023-06-12",6,NA
438545581,1,11,"natural",1.5,1500,1,"2023-06-12",6,NA
438545581,1,10,"natural",3.5,10000,1,"2023-06-12",6,NA
438545581,1,13,"natural",0.2,50000,1,"2023-06-12",6,NA
438834999,1,8,"natural",6.5,15000,1,"2023-01-15",21,NA
438834999,1,3,"natural",2.5,20000,1,"2023-01-15",21,NA
438834999,1,88,"natural",2,15000,1,"2023-01-15",21,NA
438834999,1,88,"natural",1,15000,1,"2023-01-15",21,NA
438834999,1,11,"natural",140,2000,1,"2023-01-15",21,NA
439266979,1,8,"natural",7.5,15000,1,"2023-02-15",21,NA
439266979,1,3,"natural",2.5,20000,1,"2023-02-15",21,NA
439266979,1,88,"natural",2,15000,1,"2023-02-15",21,NA
439266979,1,88,"natural",1,15000,1,"2023-02-15",21,NA
439266979,1,11,"natural",140,2000,1,"2023-02-15",21,NA
439270488,1,3,"natural",2.5,20000,1,"2023-03-15",21,NA
439270488,1,8,"natural",6.5,20000,1,"2023-03-15",21,NA
439270488,1,88,"natural",2,15000,1,"2023-03-15",21,NA
439270488,1,88,"natural",1,12000,1,"2023-03-15",21,NA
439270488,1,11,"natural",140,2000,1,"2023-03-15",21,NA
439275174,1,8,"natural",5.5,20000,1,"2023-04-15",21,NA
439275174,1,3,"natural",2.5,20000,1,"2023-04-15",21,NA
439275174,1,88,"natural",1,15000,1,"2023-04-15",21,NA
439275174,1,88,"natural",1,18000,1,"2023-04-15",21,NA
439275174,1,11,"natural",140,2000,1,"2023-04-15",21,NA
439278097,1,8,"natural",4.5,15000,1,"2023-05-15",21,NA
439278097,1,3,"natural",1.5,20000,1,"2023-05-15",21,NA
439278097,1,88,"natural",1,13000,1,"2023-05-15",21,NA
439278097,1,88,"natural",1,16000,1,"2023-05-15",21,NA
439278097,1,11,"natural",150,2000,1,"2023-05-15",21,NA
439732018,1,10,"aquaculture",0.2,10000,1,"2023-06-15",24,NA
439732018,1,3,"aquaculture",0.2,30000,1,"2023-06-15",24,NA
439732018,1,8,"natural",0.2,70000,1,"2023-06-15",24,NA
439732018,1,9,"natural",0.2,10000,1,"2023-06-15",24,NA
439732018,1,4,"aquaculture",0.1,23000,1,"2023-06-15",24,NA
439732018,1,5,"aquaculture",0.1,28000,1,"2023-06-15",24,NA
439873152,1,8,"natural",6,9000,1,"2023-05-16",19,NA
439873152,1,88,"natural",8,30000,1,"2023-05-16",19,NA
439873152,1,88,"natural",6,25000,1,"2023-05-16",19,NA
439873152,1,88,"natural",5,15000,1,"2023-05-16",19,NA
439873152,1,88,"natural",4,18000,1,"2023-05-16",19,NA
440230942,1,9,"natural",0.5,8000,1,"2023-06-16",16,NA
440230942,1,10,"aquaculture",0.1,15000,1,"2023-06-16",16,NA
440234778,1,8,"natural",0.84,15000,1,"2023-06-16",21,NA
440234778,1,3,"natural",0.6,22000,1,"2023-06-16",21,NA
440234778,1,88,"natural",0.24,15000,1,"2023-06-16",21,NA
440234778,1,88,"natural",0.24,16000,1,"2023-06-16",21,NA
440234778,1,11,"natural",36,2000,1,"2023-06-16",21,NA
440238569,1,6,"natural",5,100000,1,"2023-05-31",4,NA
440238569,1,7,"natural",20,20000,1,"2023-05-31",4,NA
440238569,1,10,"natural",18,20000,1,"2023-05-31",4,NA
440238569,1,3,"natural",90,40000,1,"2023-05-31",4,NA
440238569,1,88,"natural",160,15000,1,"2023-05-31",4,NA
440238569,1,13,"natural",9,30000,1,"2023-05-31",4,NA
440255461,2,28,"natural",1.31,35000,1,"2023-01-13",23,NA
440255461,2,16,"natural",0.26,35000,1,"2023-01-13",23,NA
440255461,2,17,"natural",0.72,150000,1,"2023-01-13",23,NA
440255461,2,19,"natural",0.59,100000,1,"2023-01-13",23,NA
440255461,2,99,"natural",12.79,2000,1,"2023-01-13",23,NA
440255461,2,23,"natural",5.38,70000,1,"2023-01-13",23,NA
440255461,2,99,"natural",39.22,70000,1,"2023-01-13",23,NA
440255461,2,99,"natural",0.33,1500,1,"2023-01-13",23,NA
440255461,2,99,"natural",3.35,1500,1,"2023-01-13",23,NA
440255461,2,20,"natural",0.33,30000,1,"2023-01-13",23,NA
440255461,2,21,"natural",0.52,30000,1,"2023-01-13",23,NA
440255461,2,99,"natural",0.13,20000,1,"2023-01-13",23,NA
440255461,2,99,"natural",0.07,20000,1,"2023-01-13",23,NA
440255461,2,26,"natural",58,4000,2,"2023-01-13",23,NA
440255466,2,28,"natural",1.41,35000,1,"2023-02-15",23,NA
440255466,2,16,"natural",0.28,35000,1,"2023-02-15",23,NA
440255466,2,17,"natural",0.78,150000,1,"2023-02-15",23,NA
440255466,2,19,"natural",0.64,100000,1,"2023-02-15",23,NA
440255466,2,99,"natural",13.77,2000,1,"2023-02-15",23,NA
440255466,2,23,"natural",5.79,70000,1,"2023-02-15",23,NA
440255466,2,99,"natural",42.24,70000,1,"2023-02-15",23,NA
440255466,2,99,"natural",0.35,1500,1,"2023-02-15",23,NA
440255466,2,99,"natural",3.6,1500,1,"2023-02-15",23,NA
440255466,2,20,"natural",0.35,30000,1,"2023-02-15",23,NA
440255466,2,21,"natural",0.57,30000,1,"2023-02-15",23,NA
440255466,2,99,"natural",0.14,20000,1,"2023-02-15",23,NA
