"list_name","name","label_khmer","label_english"
"aqutype","ponds","តាមស្រះ","By ponds"
"aqutype","batches","បែ","Batches"
"aqutype","field","ក្នុងស្រែ","Field"
"aqutype","pool","ក្នុងអាង","Pool"
"aqutype","plastic","ថង់ប្ល៉ាស្ទីក ឬតង់","Plastic or tents"
"aqutype","soung","ស៊ង","Soung"
"aqutype","pole","បង្គោល","Poles"
"aqutype","other","ផ្សេងៗ (សូមបញ្ជាក់ក្នុងសំគាល់)","Other (please specify in Remark)"
"area","1","ផ្នែកទឹកសាប","Inland"
"area","2","ផ្នែកសមុទ្រ","marine"
"typepro","1","ផលិតបង្កក​ (កំពឹស ត្រីទីឡាព្យា ត្រីប្រា)","Frozen production (freshwater)"
"typepro","2","ត្រីងៀតសាច់សុទ្ធ (ឆ្តោរ-រ៉ស់)","Pure Dried Fish"
"typepro","3","ត្រីងៀតឆ្អឹង (ឆ្តោរ-រ៉ស់)","Bone Dried Fish"
"typepro","4","ត្រីបង្ហើម (ប្រាសំយ៉ុង និងត្រីប្រម៉ា)","Swollen fish"
"typepro","5","ត្រីកន្ធរប្រឡាក់","Stained fish"
"typepro","6","ត្រីឆ្អើរប្រភេទលេខ ១ (ត្រីកេស)","Smoked fish type 1"
"typepro","7","ត្រីឆ្អើរ (អណ្តែង ត្រីល្អិតៗ និងត្រីផ្សេងៗ)","Smoked fish"
"typepro","8","ប្រហុកឆ្អឹង","Bone Prahok"
"typepro","9","ប្រហុកសាច់","Prahok"
"typepro","10","ផ្អក","Pause"
"typepro","11","ទឹកត្រី (ត្រីទឹកសាប)","Fish sauce (freshwater)"
"typepro","12","ម៉្សៅត្រី","Fish powder"
"typepro","13","កំពឹសក្រៀម (ទឹកសាប)","Dried shrimp (freshwater)"
"typepro","14","ណែមសាច់ត្រី","Fish fillets"
"typepro","15","ប្រហិតត្រីទឹកសាប (ត្រីស្លាត ត្រីផ្សេងៗទៀត)","Freshwater fish meatballs"
"typepro","30","ត្រីងៀត (ផ្សេងៗ)","Dried Fish (other)"
"typepro","88","ផ្សេងៗ","Other"
"typepro","16","ត្រីចំហ៊ុយ","Steamed fish"
"typepro","17","បង្គាក្រៀម","Dried shrimp"
"typepro","18","យ៉ាហេ","Yahe"
"typepro","19","មឹកក្រៀម","Dried squid"
"typepro","20","ក្តាមប្រៃ","Salted Crab"
"typepro","21","គី (កាពិ)","Ky (Kapi)"
"typepro","22","គ្រុំចំពុះទាក្រៀម","Dried duck beak"
"typepro","23","បកសាច់ក្តាម","Crab meat"
"typepro","24","ផលិតផលបង្កក (មឹក បង្គា)","Frozen production (marine)"
"typepro","25","ប្រហិតត្រីសមុទ្រ","Sea fish meatballs"
"typepro","26","ទឹកត្រី (ត្រីសមុទ្រ)","Fish sauce (marine)"
"typepro","27","កាឈីវ","Kachiv"
"typepro","28","ត្រីប្រឡាក់ក្រៀម","Stained fish (marine"
"typepro","29","សារាយ-ស្មៅសមុទ្រក្រៀម","Dried algae-seagrass"
"typepro","99","ផ្សេងៗ","Other"
"source","natural","ផលនេសាទពីធម្មជាតិ","From natual"
"source","aquaculture","ការចិញ្ចឹម","From aquaculture"
"inspectorate","1","អធិការដ្ឋានរដ្ឋបាលជលផលមេគង្គ","Mekong Inspectorate"
"inspectorate","2","អធិការដ្ឋានរដ្ឋបាលជលផលចតុមុខ","Chaktomuk Inspectorate"
"inspectorate","3","អធិការដ្ឋានរដ្ឋបាលជលផលខាងត្បូងបឹងទន្លេសាប","Southern Tonle Sap Inspectorate"
"inspectorate","4","អធិការដ្ឋានរដ្ឋបាលជលផលខាងជើងបឹងទន្លេសាប","Northern Tonle Sap Inspectorate"
"inspectorate","5","អធិការដ្ឋានរដ្ឋបាលជលផលសមុទ្រ","Marine Inspectorate"
"typefishing","1","ដាយត្រី","Dai"
"typefishing","2","លក្ខណៈគ្រួសារក្នុងដែននេសាទ","Family fishing in fishery domain"
"typefishing","3","លក្ខណៈគ្រួសារក្នុងវាលស្រែ","Family fishing in rice field"
"typefishing","4","សិប្បកម្ម (សមុទ្រ)","Marine Catch Fish"
"type","61","ត្រីកញ្ចាញ់ច្រាស","Parambassis sp."
"type","42","ត្រីកញ្ចុះ","Akysis sp."
"type","50","ត្រីកញ្ច្រូក","Yasuhikotakia sp."
"type","43","ត្រីកន្ត្រប់","Pristolepis fasciata"
"type","60","ត្រីកន្រងប្រេង","Parambassis wolffii"
"type","49","ត្រីកាបស","Hypophthalmichthys molitrix"
"type","18","ត្រីកាហែ","Barbonymus sp."
"type","51","ត្រីកាហោ /​ ត្រីគល់រាំង","Catlocarpio siamensis"
"type","7","ត្រីកេស","Kryptoplerus sp."
"type","25","ត្រីកែ","Pangasius conchophilus"
"type","13","ត្រីក្តាំងហាយ","Belodontichthys truncatus"
"type","55","ត្រីក្បក","Tenualosa thibaudeaui"
"type","69","ត្រីក្រចាប់","Homaloptera indochinesesis"
"type","4","ត្រីក្រពាត់ / ត្រីសណ្តាយ","Wallago attu"
"type","16","ត្រីក្រពុលបាយ","Cosmochilus harmandi"
"type","41","ត្រីក្រឡង់","Cirrhinus microlepis"
"type","9","ត្រីក្រឡង់ / ត្រីព្រួល","Cirrhinus microlepsis"
"type","46","ត្រីក្រាញ់","Anabas testudineus"
"type","17","ត្រីក្រាយ","Chitala ornate"
"type","38","ត្រីក្រុស","Osteochilus sp."
"type","14","ត្រីក្អែក","Labeo Chrysophekadion"
"type","29","ត្រីកំបុតច្រមុះ","Amblyrhynchichthys micracanthus"
"type","72","ត្រីកំព្រាម","Polynemus sp."
"type","53","ត្រីកំភ្លាញ","Trichohodus sp."
"type","58","ត្រីខ្ជឹង","Mastacembelus armatus"
"type","23","ត្រីខ្នងវែង","Labiobarbus leptocheila"
"type","63","ត្រីខ្មាន","Hampala sp."
"type","21","ត្រីខ្លា","Datnioides polota"
"type","71","ត្រីខ្សាន","Brachgobius sp."
"type","2","ត្រីគ្រុំ","Osteochilas melanpleura"
"type","11","ត្រីចង្វា","Rasbora sp."
"type","48","ត្រីចង្វា","Oryzias sp."
"type","44","ត្រីចាប","Piaractus brachypomus"
"type","20","ត្រីចេកទុំ","Bagrichthys obscurus"
"type","5","ត្រីច្រកែង","Puntioplites proctozysron"
"type","3","ត្រីឆ្តោក","Chyclocheilichthys enoplos"
"type","6","ត្រីឆ្ពិន","Hypsitarbus sp."
"type","66","ត្រីឆ្ពុង(រៀលថ្ម)","Babichthys laevis"
"type","22","ត្រីឆ្មា","Lycothrissa crocodilus"
"type","12","ត្រីឆ្លាំង","Hemibagrus sp."
"type","45","ត្រីឆ្លូញ","Macrognathus sp."
"type","36","ត្រីជញ្លូញមាន់","Coilia lindmani"
"type","65","ត្រីជន្ទាសភ្លុក","Parachela ouygastoides"
"type","32","ត្រីឈ្វាត","Pangasius mekongensis"
"type","74","ត្រីដងខ្ទែង","Macrochirichthys macrochirus"
"type","75","ត្រីដៀប/ត្រីឆ្ដោ","Channa micropeltes"
"type","15","ត្រីដំរី","Oxyeleotris"
"type","31","ត្រីត្រសក់","Probarbus sp."
"type","57","ត្រីត្រឪន","Ompok eugeneiatus"
"type","8","ត្រីទីឡាព្យា","Oreochromis sp."
"type","73","ត្រីទ្រនេល","Hemibagrus filamentus"
"type","40","ត្រីបណ្តូលអំពៅ","Clupeichthys sp."
"type","54","ត្រីប៉ាសេអ៊ី","Mekongina erythrospila"
"type","35","ត្រីបុងឡាវ","Panagasius krempfi"
"type","34","ត្រីបេកា","Scomberomorus sinensis"
"type","26","ត្រីប្រម៉ា","Boesemania microlepis"
"type","30","ត្រីប្រា","Pangasius sp."
"type","47","ត្រីផ្កាចារ","Cirrhinus jullieni"
"type","24","ត្រីផ្ទក់","Channa striata"
"type","70","ត្រីផ្ទោង","Xenentodon cancila"
"type","59","ត្រីពោ","Pangasius larnaudii"
"type","68","ត្រីព្រលូង","Leptobarbus hoeveni"
"type","37","ត្រីរាជ","Pangasianodon gigas"
"type","27","ត្រីរៀល","Gymnosstomus sp."
"type","62","ត្រីលលកស","Osteochilus schlegeli"
"type","1","ត្រីលេញ","Thynnichthys Thynnoides"
"type","67","ត្រីស្ទក់","Wallago micropogon"
"type","33","ត្រីស្មើកន្ទុយ","Pangasius polyuranodom"
"type","52","ត្រីស្រការក្តាម","Cyclocheilichthys sp."
"type","56","ត្រីស្លាត","Notopterus notopterus"
"type","10","ត្រីស្លឹកឬស្សី","paralaubuca barroni"
"type","64","ត្រីអង្កត់ប្រាក់","Puntius rhombeus"
"type","39","ត្រីអណ្ដែង","Amblyceps sp."
"type","19","ត្រីអណ្តាតឆ្កែ","Cynoglossus sp."
"type","28","ត្រីអាចម៏កុក","Labiobarbus siamensis"
"type","77","កង្កែប","Frog"
"type","86","កន្ធាយ","Turtle (Kantheay)"
"type","80","ក្ដាម","Crab"
"type","85","ក្រពើ","Crocodile"
"type","76","កំពឹស","shrimp"
"type","81","ខ្ចៅ","Small snail"
"type","79","ខ្យង","Snail"
"type","84","បង្កង់","Lobster"
"type","83","ពស់","Snake"
"type","82","លៀស","Clams"
"type","87","អណ្តើក","Turtle"
"type","78","អន្ទង់","Eel"
"type","88","ត្រីល្អិតចំរុះ","Other small aquatic animal"
"type","89","ត្រីធំចំរុះ","Other big aquatic animal"
"type","90","ត្រីចំរុះ (ទាំងតូច ទាំងធំ)","Other aquatic (small and big)"
"type","888","ផ្សេងៗ","Other"
"type","FM025","ក្ដាមជ័រ","Vinegar crab"
"type","FM026","ក្ដាមផ្សេងៗ","Crabs nei"
"type","FM024","ក្ដាមសេះ","Swimming crab"
"type","FM023","ក្តាមថ្ម","Mud crab"
"type","FM052","ខ្យង ឬគ្រំក្រឡាហូល","Snail"
"type","FM029","គី","Small mixed shrimp nei"
"type","FM027","គ្រែងឈាម","Anadara granosa"
"type","FM028","ងាវចំរុះ","Shellfish nei"
"type","FM001","ត្រី​តុក​កែ​","Orange-spotted grouper"
"type","FM054","ត្រីកន្តាំងក្រអូម","Whitespotted Spinefoot"
"type","FM035","ត្រីកន្ទុយរឹង","Torpedo scad"
"type","FM057","ត្រីកន្ទុយរឹង","Indian Scad"
"type","FM045","ត្រីកន្ទុយរឹងភ្នែកធំ","Bigeye scad"
"type","FM040","ត្រីកាជី","Yellow-spotted Slatey"
"type","FM017","ត្រីកាតាំង","Lined surgeonfish"
"type","FM007","ត្រីកាម៉ុង​ខ្លួន​វែង","Indian mackerel"
"type","FM004","ត្រីការ៉ាវ","Eleutheronema tetradactylum"
"type","FM059","ត្រីកាហាវ","Herring scad"
"type","FM053","ត្រីកាឡាំង","Carp"
"type","FM033","ត្រីកាំកួច","Barcheek trevally"
"type","FM058","ត្រីកុកក្បាលធំ","Largehead hairtail"
"type","FM036","ត្រីកូនគុំ","Slender scad"
"type","FM039","ត្រីក្ដចិន","Chinese Hot Fish"
"type","FM034","ត្រីក្បក","Bluespot mulle"
"type","FM048","ត្រីក្បកខ្មុក","Squaretail Mullet"
"type","FM038","ត្រីក្រចកក្របី","​Indian anchovy"
"type","FM015","ត្រីក្រហម","Redcoa"
"type","FM050","ត្រីក្រហម ឬត្រីឆ្នូតពីរ","Forktailed Threadfin Bream"
"type","FM064","ត្រីគួន","Goldstripe sardinella"
"type","FM071","ត្រីគួនបារាំង","Spotted sardinella"
"type","FM012","ត្រីគ្រាប់ខ្នុរ","False trevally"
"type","FM051","ត្រីចង្កូមបី","Tigertooth Croaker"
"type","FM006","ត្រីចាប","Silver pomfret"
"type","FM055","ត្រីចាបខ្មៅ","Silver Pomfret (Black)"
"type","FM067","ត្រីចោរខ្លួនមូល","Bludger"
"type","FM060","ត្រីឆៃកាម","Orangespotted trevally"
"type","FM063","ត្រីឆ្នូតលឿង","Yellow stripe trevally"
